Название исходного файла;Название отфильтрованного файла;Размер Файла;Метод фильтрации;Среднее отклонение;Сходство с оригиналом
./Date/1.pgm;./rezalts/sr_1.pgm;934x616;Скользящее среднее;25,224363;90,108093%
./Date/1.pgm;./rezalts/run_k1_1.pgm;934x616;Бегущее среднее k=0,100000;14,572713;94,285211%
./Date/1.pgm;./rezalts/run_k3_1.pgm;934x616;Бегущее среднее k=0,300000;8,706551;96,585666%
./Date/1.pgm;./rezalts/run_k5_1.pgm;934x616;Бегущее среднее k=0,500000;5,492843;97,845944%
./Date/1.pgm;./rezalts/run_k7_1.pgm;934x616;Бегущее среднее k=0,700000;3,016051;98,817235%
./Date/1.pgm;./rezalts/run_k9_1.pgm;934x616;Бегущее среднее k=0,900000;1,037449;99,593157%
./Date/1.pgm;./rezalts/med3_1.pgm;934x616;Медианный 3x3;4,906924;98,075716%
./Date/1.pgm;./rezalts/med5_1.pgm;934x616;Медианный 5x5;7,604004;97,018038%
./Date/1.pgm;./rezalts/med7_1.pgm;934x616;Медианный 7x7;9,750353;96,176332%
./Date/2.pgm;./rezalts/sr_2.pgm;1239x839;Скользящее среднее;5,753323;97,743795%
./Date/2.pgm;./rezalts/run_k1_2.pgm;1239x839;Бегущее среднее k=0,100000;7,954141;96,880729%
./Date/2.pgm;./rezalts/run_k3_2.pgm;1239x839;Бегущее среднее k=0,300000;3,465621;98,640933%
./Date/2.pgm;./rezalts/run_k5_2.pgm;1239x839;Бегущее среднее k=0,500000;1,959808;99,231448%
./Date/2.pgm;./rezalts/run_k7_2.pgm;1239x839;Бегущее среднее k=0,700000;1,092307;99,571644%
./Date/2.pgm;./rezalts/run_k9_2.pgm;1239x839;Бегущее среднее k=0,900000;0,524292;99,794395%
./Date/2.pgm;./rezalts/med3_2.pgm;1239x839;Медианный 3x3;0,957799;99,624393%
./Date/2.pgm;./rezalts/med5_2.pgm;1239x839;Медианный 5x5;1,786293;99,299493%
./Date/2.pgm;./rezalts/med7_2.pgm;1239x839;Медианный 7x7;2,485436;99,025319%
./Date/3.pgm;./rezalts/sr_3.pgm;736x981;Скользящее среднее;25,792104;89,885449%
./Date/3.pgm;./rezalts/run_k1_3.pgm;736x981;Бегущее среднее k=0,100000;18,484239;92,751279%
./Date/3.pgm;./rezalts/run_k3_3.pgm;736x981;Бегущее среднее k=0,300000;9,210365;96,388092%
./Date/3.pgm;./rezalts/run_k5_3.pgm;736x981;Бегущее среднее k=0,500000;5,471941;97,854141%
./Date/3.pgm;./rezalts/run_k7_3.pgm;736x981;Бегущее среднее k=0,700000;2,960620;98,838973%
./Date/3.pgm;./rezalts/run_k9_3.pgm;736x981;Бегущее среднее k=0,900000;0,993503;99,610391%
./Date/3.pgm;./rezalts/med3_3.pgm;736x981;Медианный 3x3;4,322660;98,304839%
./Date/3.pgm;./rezalts/med5_3.pgm;736x981;Медианный 5x5;6,347055;97,510959%
./Date/3.pgm;./rezalts/med7_3.pgm;736x981;Медианный 7x7;7,996146;96,864257%
./Date/4.pgm;./rezalts/sr_4.pgm;675x1200;Скользящее среднее;8,967794;96,483218%
./Date/4.pgm;./rezalts/run_k1_4.pgm;675x1200;Бегущее среднее k=0,100000;30,199937;88,156887%
./Date/4.pgm;./rezalts/run_k3_4.pgm;675x1200;Бегущее среднее k=0,300000;18,869269;92,600287%
./Date/4.pgm;./rezalts/run_k5_4.pgm;675x1200;Бегущее среднее k=0,500000;10,858830;95,741635%
./Date/4.pgm;./rezalts/run_k7_4.pgm;675x1200;Бегущее среднее k=0,700000;5,325699;97,911491%
./Date/4.pgm;./rezalts/run_k9_4.pgm;675x1200;Бегущее среднее k=0,900000;1,506644;99,409159%
./Date/4.pgm;./rezalts/med3_4.pgm;675x1200;Медианный 3x3;2,388994;99,063140%
./Date/4.pgm;./rezalts/med5_4.pgm;675x1200;Медианный 5x5;8,519607;96,658977%
./Date/4.pgm;./rezalts/med7_4.pgm;675x1200;Медианный 7x7;15,557167;93,899150%
./Date/5.pgm;./rezalts/sr_5.pgm;1200x750;Скользящее среднее;32,090011;87,415682%
./Date/5.pgm;./rezalts/run_k1_5.pgm;1200x750;Бегущее среднее k=0,100000;15,027589;94,106828%
./Date/5.pgm;./rezalts/run_k3_5.pgm;1200x750;Бегущее среднее k=0,300000;9,425072;96,303893%
./Date/5.pgm;./rezalts/run_k5_5.pgm;1200x750;Бегущее среднее k=0,500000;6,020699;97,638942%
./Date/5.pgm;./rezalts/run_k7_5.pgm;1200x750;Бегущее среднее k=0,700000;3,341542;98,689591%
./Date/5.pgm;./rezalts/run_k9_5.pgm;1200x750;Бегущее среднее k=0,900000;1,101008;99,568232%
./Date/5.pgm;./rezalts/med3_5.pgm;1200x750;Медианный 3x3;5,387691;97,887180%
./Date/5.pgm;./rezalts/med5_5.pgm;1200x750;Медианный 5x5;8,588069;96,632130%
./Date/5.pgm;./rezalts/med7_5.pgm;1200x750;Медианный 7x7;11,274323;95,578697%
